t_min,P_amb_atm,FIO2,FIN2,I_ex_L_min_wb,pt_N2_atm,pt_O2_atm,r_hat_dimensionless,Pb_N2_atm,Pb_O2_atm,x_hat_N2,x_hat_O2,n_b,N_b_max_cumulative,P_crush_atm,beta_f_hat_dimensionless,r_hat_min_nucleation_dimensionless,h_t_hazard_per_min,P_DCS,P_survival
9.599999999999984,0.2353170632313429,0.21,0.79,0.0,0.626568716451829,0,0.25645964428893026,0.13735399101296125,0,0.0,0.0,0.24982272315180218,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102861654294886e-10,7.326438344890107e-10,0.9999999992673562
9.699999999999983,0.2353170632313429,0.21,0.79,0.0,0.6243112905245547,0,0.25645964429389617,0.13735399101251416,0,0.0,0.0,0.2498227149358065,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028615042097782e-10,7.536724577761333e-10,0.9999999992463275
9.799999999999983,0.2353170632313429,0.21,0.79,0.0,0.6220642746630295,0,0.25645964429104146,0.13735399101277118,0,0.0,0.0,0.24982270671981105,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028613539280298e-10,7.74701081063256e-10,0.9999999992252989
9.899999999999983,0.2353170632313429,0.21,0.79,0.0,0.6198276208614838,0,0.2564596442926872,0.13735399101262302,0,0.0,0.0,0.2498226985038159,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028612037594556e-10,7.957297043503786e-10,0.9999999992042703
9.999999999999982,0.2353170632313429,0.21,0.79,0.0,0.6176012813355254,0,0.2564596442917357,0.13735399101270868,0,0.0,0.0,0.249822690287821,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102861053525585e-10,8.167583276375012e-10,0.9999999991832417
10.099999999999982,0.2353170632313429,0.21,0.79,0.0,0.6153852085211188,0,0.2564596442922874,0.137353991012659,0,0.0,0.0,0.2498226820718264,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102860903329524e-10,8.377869509246239e-10,0.999999999162213
10.199999999999982,0.2353170632313429,0.21,0.79,0.0,0.6131793550735689,0,0.2564596442919666,0.1373539910126879,0,0.0,0.0,0.24982267385583204,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028607531115342e-10,8.588155742117465e-10,0.9999999991411844
10.299999999999981,0.2353170632313429,0.21,0.79,0.0,0.6109836738665095,0,0.25645964429215373,0.13735399101267104,0,0.0,0.0,0.24982266563983796,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102860602906327e-10,8.798441974988691e-10,0.9999999991201558
10.39999999999998,0.2353170632313429,0.21,0.79,0.0,0.6087981179908966,0,0.2564596442920443,0.1373539910126809,0,0.0,0.0,0.24982265742384416,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028604526936743e-10,9.008728207859917e-10,0.9999999990991272
10.49999999999998,0.2353170632313429,0.21,0.79,0.0,0.606622640754006,0,0.25645964429210844,0.13735399101267512,0,0.0,0.0,0.2498226492078506,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028603024853957e-10,9.219014440731144e-10,0.9999999990780986
10.59999999999998,0.2353170632313429,0.21,0.79,0.0,0.6044571956784358,0,0.25645964429207074,0.1373539910126785,0,0.0,0.0,0.24982264099185733,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028601522745674e-10,9.42930067360237e-10,0.9999999990570699
10.69999999999998,0.2353170632313429,0.21,0.79,0.0,0.602301736501114,0,0.25645964429209295,0.1373539910126765,0,0.0,0.0,0.24982263277586433,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028600020652562e-10,9.639586906473596e-10,0.9999999990360413
10.79999999999998,0.2353170632313429,0.21,0.79,0.0,0.600156217172309,0,0.25645964429207985,0.1373539910126777,0,0.0,0.0,0.24982262455987161,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028598518550666e-10,9.849873139344822e-10,0.9999999990150127
