preox_duration,ascent_rate_ftmin,cruise_alt_ft,cruise_duration,total_flight_time,risk_index,risk_probability
20,1000,28000,15,63.0,93.73603369098616,1.0
20,1000,29000,15,64.0,127.80431439510652,1.0
20,1000,30000,15,65.0,161.87498080947657,1.0
20,1000,31000,15,66.0,195.8805516541196,1.0
20,1000,32000,15,67.0,229.75924980978562,1.0
20,1000,33000,15,68.0,263.4546880036964,1.0
20,1000,34000,15,69.0,296.91556163724556,1.0
20,1000,35000,15,70.0,330.09534998341894,1.0
20,1000,36000,15,71.0,362.95202672840946,1.0
20,1000,37000,15,72.0,395.44778060872767,1.0
20,1000,38000,15,73.0,427.5487466996925,1.0
20,1000,39000,15,74.0,459.2247487410183,1.0
20,1000,40000,15,75.0,490.4490527381917,1.0
20,1000,15000,20,55.0,0.0,0.0
20,1000,16000,20,56.0,0.0,0.0
20,1000,17000,20,57.0,0.0,0.0
20,1000,18000,20,58.0,0.0,0.0
20,1000,19000,20,59.0,0.0,0.0
20,1000,20000,20,60.0,0.0,0.0
20,1000,21000,20,61.0,0.0,0.0
20,1000,22000,20,62.0,0.0,0.0
20,1000,23000,20,63.0,0.0,0.0
20,1000,24000,20,64.0,0.0,0.0
20,1000,25000,20,65.0,0.0,0.0
20,1000,26000,20,66.0,31.823047823159328,0.9999999999999849
20,1000,27000,20,67.0,72.7810028945277,1.0
20,1000,28000,20,68.0,113.29679367608557,1.0
20,1000,29000,20,69.0,153.32549791978124,1.0
20,1000,30000,20,70.0,192.82714096363225,1.0
20,1000,31000,20,71.0,231.76636001670863,1.0
20,1000,32000,20,72.0,270.1120836004156,1.0
20,1000,33000,20,73.0,307.8372263112598,1.0
20,1000,34000,20,74.0,344.91839891653416,1.0
20,1000,35000,20,75.0,381.3356336651166,1.0
20,1000,36000,20,76.0,418.0593123418933,1.0
20,1000,37000,20,77.0,453.14727791469437,1.0
20,1000,38000,20,78.0,487.52374002359966,1.0
20,1000,39000,20,79.0,521.1803623626458,1.0
20,1000,40000,20,80.0,554.1110512937076,1.0
30,1000,15000,5,50.0,0.0,0.0
30,1000,16000,5,51.0,0.0,0.0
30,1000,17000,5,52.0,0.0,0.0
30,1000,18000,5,53.0,0.0,0.0
30,1000,19000,5,54.0,0.0,0.0
30,1000,20000,5,55.0,0.0,0.0
30,1000,21000,5,56.0,0.0,0.0
30,1000,22000,5,57.0,0.0,0.0
30,1000,23000,5,58.0,0.0,0.0
30,1000,24000,5,59.0,0.0,0.0
30,1000,25000,5,60.0,0.0,0.0
30,1000,26000,5,61.0,10.629326967326696,0.9999758040904834
30,1000,27000,5,62.0,25.989068084958554,0.9999999999948348
30,1000,28000,5,63.0,42.97042212598428,1.0
30,1000,29000,5,64.0,61.42200537654267,1.0
30,1000,30000,5,65.0,81.19972255802809,1.0
30,1000,31000,5,66.0,102.16676235979418,1.0
