scenario_id,scenario,error
37,"{'altitude': 20157.978346463733, 'time_at_altitude': 92.32263336539116, 'prebreathing_time': 184.32454873613895, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
38,"{'altitude': 23719.50309030521, 'time_at_altitude': 333.9969558007533, 'prebreathing_time': 228.61006338656992, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
39,"{'altitude': 22974.433267184195, 'time_at_altitude': 33.09735572481732, 'prebreathing_time': 186.42253033750237, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
40,"{'altitude': 18913.91867717036, 'time_at_altitude': 194.20568572919356, 'prebreathing_time': 65.86971523827903, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
41,"{'altitude': 21637.303322066764, 'time_at_altitude': 264.2895429199578, 'prebreathing_time': 151.33294179413642, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
42,"{'altitude': 19690.51613242678, 'time_at_altitude': 196.4576978570813, 'prebreathing_time': 59.74575030870315, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
43,"{'altitude': 23300.324082118954, 'time_at_altitude': 317.9855981414233, 'prebreathing_time': 174.47349831371378, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
44,"{'altitude': 18245.54389378942, 'time_at_altitude': 322.45316530337095, 'prebreathing_time': 118.55963399148122, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
45,"{'altitude': 21808.37620034375, 'time_at_altitude': 39.79431714799016, 'prebreathing_time': 52.51115217956065, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
46,"{'altitude': 18805.94108059244, 'time_at_altitude': 228.92480405601185, 'prebreathing_time': 83.398732265322, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
