altitude,prebreathing_time,exercise_level,time_at_altitude,risk_of_decompression_sickness
18000,45,Mild,220,0.00
18000,45,Mild,230,0.00
18000,45,Mild,240,0.00
18000,45,Heavy,10,0.00
18000,45,Heavy,20,0.00
18000,45,Heavy,30,0.00
18000,45,Heavy,40,0.00
18000,45,Heavy,50,0.00
18000,45,Heavy,60,0.00
18000,45,Heavy,70,0.00
18000,45,Heavy,80,0.00
18000,45,Heavy,90,0.00
18000,45,Heavy,100,0.00
18000,45,Heavy,110,0.00
18000,45,Heavy,120,0.00
18000,45,Heavy,130,0.00
18000,45,Heavy,140,1.00
18000,45,Heavy,150,1.00
18000,45,Heavy,160,1.00
18000,45,Heavy,170,1.00
18000,45,Heavy,180,1.00
18000,45,Heavy,190,1.00
18000,45,Heavy,200,1.00
18000,45,Heavy,210,1.00
18000,45,Heavy,220,1.00
18000,45,Heavy,230,1.00
18000,45,Heavy,240,1.00
18000,60,Rest,10,0.00
18000,60,Rest,20,0.00
18000,60,Rest,30,0.00
18000,60,Rest,40,0.00
18000,60,Rest,50,0.00
18000,60,Rest,60,0.00
18000,60,Rest,70,0.00
18000,60,Rest,80,0.00
18000,60,Rest,90,0.00
18000,60,Rest,100,0.00
18000,60,Rest,110,0.00
18000,60,Rest,120,0.00
18000,60,Rest,130,0.00
18000,60,Rest,140,0.00
18000,60,Rest,150,0.00
18000,60,Rest,160,0.00
18000,60,Rest,170,0.00
18000,60,Rest,180,0.00
18000,60,Rest,190,0.00
18000,60,Rest,200,0.00
18000,60,Rest,210,0.00
18000,60,Rest,220,0.00
18000,60,Rest,230,0.00
18000,60,Rest,240,0.00
18000,60,Mild,10,0.00
18000,60,Mild,20,0.00
18000,60,Mild,30,0.00
18000,60,Mild,40,0.00
18000,60,Mild,50,0.00
18000,60,Mild,60,0.00
18000,60,Mild,70,0.00
18000,60,Mild,80,0.00
18000,60,Mild,90,0.00
18000,60,Mild,100,0.00
18000,60,Mild,110,0.00
18000,60,Mild,120,0.00
18000,60,Mild,130,0.00
18000,60,Mild,140,0.00
18000,60,Mild,150,0.00
18000,60,Mild,160,0.00
18000,60,Mild,170,0.00
18000,60,Mild,180,0.00
18000,60,Mild,190,0.00
18000,60,Mild,200,0.00
18000,60,Mild,210,0.00
18000,60,Mild,220,0.00
18000,60,Mild,230,0.00
18000,60,Mild,240,0.00
18000,60,Heavy,10,0.00
18000,60,Heavy,20,0.00
18000,60,Heavy,30,0.00
18000,60,Heavy,40,0.00
18000,60,Heavy,50,0.00
18000,60,Heavy,60,0.00
18000,60,Heavy,70,0.00
18000,60,Heavy,80,0.00
18000,60,Heavy,90,0.00
18000,60,Heavy,100,0.00
18000,60,Heavy,110,0.00
18000,60,Heavy,120,0.00
18000,60,Heavy,130,0.00
18000,60,Heavy,140,0.00
18000,60,Heavy,150,0.00
18000,60,Heavy,160,0.00
18000,60,Heavy,170,0.00
18000,60,Heavy,180,0.00
18000,60,Heavy,190,0.00
18000,60,Heavy,200,0.00
18000,60,Heavy,210,0.00
18000,60,Heavy,220,0.00
18000,60,Heavy,230,0.01
18000,60,Heavy,240,0.01
18500,0,Rest,10,0.00
18500,0,Rest,20,0.00
18500,0,Rest,30,0.00
18500,0,Rest,40,0.00
18500,0,Rest,50,0.00
18500,0,Rest,60,0.00
18500,0,Rest,70,0.00
18500,0,Rest,80,0.00
18500,0,Rest,90,0.00
18500,0,Rest,100,0.00
18500,0,Rest,110,0.00
18500,0,Rest,120,1.00
18500,0,Rest,130,1.00
18500,0,Rest,140,1.00
18500,0,Rest,150,1.00
18500,0,Rest,160,1.00
18500,0,Rest,170,1.00
18500,0,Rest,180,1.00
18500,0,Rest,190,1.00
18500,0,Rest,200,1.00
18500,0,Rest,210,1.00
18500,0,Rest,220,1.00
18500,0,Rest,230,1.00
18500,0,Rest,240,1.00
18500,0,Mild,10,0.00
18500,0,Mild,20,0.00
18500,0,Mild,30,0.00
18500,0,Mild,40,0.00
18500,0,Mild,50,0.00
18500,0,Mild,60,1.00
18500,0,Mild,70,1.00
18500,0,Mild,80,1.00
18500,0,Mild,90,1.00
18500,0,Mild,100,1.00
18500,0,Mild,110,1.00
18500,0,Mild,120,1.00
18500,0,Mild,130,2.00
18500,0,Mild,140,2.00
18500,0,Mild,150,2.00
18500,0,Mild,160,2.00
18500,0,Mild,170,2.00
18500,0,Mild,180,3.00
18500,0,Mild,190,3.00
18500,0,Mild,200,3.00
18500,0,Mild,210,3.00
18500,0,Mild,220,3.00
18500,0,Mild,230,4.00
18500,0,Mild,240,4.00
